Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5869260586164138317369219433,0.586926058616414,0.586926058616414,0.586926058616414,0.586926058616414,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,1831754
0.02,0,0.5631870383453771309532350370,0.563187038345377,0.563187038345377,0.563187038345377,0.563187038345377,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,3663509
0.03,0,0.5408906929674001497419671912,0.5408906929674,0.5408906929674,0.5408906929674,0.5408906929674,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,5495264
0.04,0,0.5235502035928124848924520971,0.523550203592813,0.523550203592813,0.523550203592813,0.523550203592813,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,7327018
0.05,0,0.5097499185381487792922287157,0.509749918538149,0.509749918538149,0.509749918538149,0.509749918538149,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,9158773
0.06,0,0.4984276126104258271818377017,0.498427612610426,0.498427612610426,0.498427612610426,0.498427612610426,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,10990530
0.07,0,0.4888994019491817319779483757,0.488899401949182,0.488899401949182,0.488899401949182,0.488899401949182,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,12822280
0.08,0,0.4815409391305543934813356464,0.481540939130554,0.481540939130554,0.481540939130554,0.481540939130554,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,14654040
0.09,0,0.4800432847932367522058328432,0.480043284793237,0.480043284793237,0.480043284793237,0.480043284793237,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,16485790
0.10,0,0.4781919149818311952933381382,0.478191914981831,0.478191914981831,0.478191914981831,0.478191914981831,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,18317550
0.11,0,0.4761553024592510263089164394,0.476155302459251,0.476155302459251,0.476155302459251,0.476155302459251,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,20149300
0.12,0,0.4740323998008164000867507237,0.474032399800816,0.474032399800816,0.474032399800816,0.474032399800816,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,21981050
0.13,0,0.4718827640943970865890462196,0.471882764094397,0.471882764094397,0.471882764094397,0.471882764094397,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,23812810
0.14,0,0.4697426923690171821550685515,0.469742692369017,0.469742692369017,0.469742692369017,0.469742692369017,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,25644560
0.15,0,0.4676342952830291069546733051,0.467634295283029,0.467634295283029,0.467634295283029,0.467634295283029,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,27476320
0.16,0,0.4655708138923478789237749898,0.465570813892348,0.465570813892348,0.465570813892348,0.465570813892348,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,29308070
0.17,0,0.4635598763799914469330427504,0.463559876379991,0.463559876379991,0.463559876379991,0.463559876379991,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,31139830
0.18,0,0.4616055149347240084817938259,0.461605514934724,0.461605514934724,0.461605514934724,0.461605514934724,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,32971580
0.19,0,0.4597093834887376462776027504,0.459709383488738,0.459709383488738,0.459709383488738,0.459709383488738,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,34803340
0.20,0,0.4578717150046150234640014489,0.457871715004615,0.457871715004615,0.457871715004615,0.457871715004615,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,36635090
0.21,0,0.4560916854680488430466299550,0.456091685468049,0.456091685468049,0.456091685468049,0.456091685468049,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,38466840
0.22,0,0.4543678907119177286204416446,0.454367890711918,0.454367890711918,0.454367890711918,0.454367890711918,0,0,0,0,5.74336219373041,201.07784363908657334043974464,201.07784363908657334043974464,40298600
